hotel,meal,market_segment,distribution_channel,reserved_room_type,deposit_type,customer_type,year,month,day
0,0,0,0,0,0,0,0,7,1
0,0,0,0,0,0,0,0,7,1
0,0,0,0,1,0,0,0,7,2
0,0,1,1,1,0,0,0,7,2
0,0,2,2,1,0,0,0,7,3
0,0,2,2,1,0,0,0,7,3
0,0,0,0,0,0,0,0,7,3
0,1,0,0,0,0,0,0,7,3
0,0,2,2,1,0,0,0,5,6
0,2,3,2,2,0,0,0,4,22
0,0,2,2,3,0,0,0,6,23
0,2,2,2,2,0,0,0,7,5
0,0,2,2,2,0,0,0,7,5
0,2,2,2,4,0,0,0,7,5
0,0,2,2,3,0,0,0,7,5
0,0,2,2,2,0,0,0,7,5
0,0,3,2,3,0,1,0,7,5
0,0,2,2,1,0,0,0,7,2
0,0,1,1,1,0,0,0,7,2
0,0,0,0,4,0,0,0,7,5
0,0,2,2,5,0,0,0,7,6
0,0,0,0,1,0,0,0,7,7
0,0,0,0,1,0,0,0,7,7
0,0,0,0,2,0,0,0,7,7
0,2,3,2,2,0,1,0,7,1
0,0,3,2,2,0,0,0,7,8
0,0,3,2,2,0,1,0,7,8
0,0,2,2,3,0,0,0,5,11
0,0,2,2,1,0,0,0,7,8
0,0,2,2,2,0,0,0,7,8
0,0,0,0,1,0,0,0,7,15
0,0,3,2,2,0,0,0,7,16
0,0,0,0,3,0,0,0,5,29
0,0,3,2,1,0,0,0,7,8
0,0,2,2,2,0,0,0,5,19
0,0,2,2,2,0,0,0,6,19
0,0,2,2,1,0,0,0,7,6
0,0,2,2,2,0,0,0,7,6
0,0,2,2,2,0,0,0,5,23
0,2,0,0,3,0,0,0,7,7
0,0,2,2,4,0,0,0,5,18
0,0,3,2,2,0,1,0,7,7
0,0,0,0,5,0,0,0,7,7
0,2,0,0,3,0,0,0,7,7
0,0,2,2,1,0,0,0,7,9
0,0,2,2,4,0,0,0,6,2
0,0,3,2,1,0,0,0,7,9
0,0,3,2,3,0,2,0,7,9
0,2,3,2,1,0,1,0,7,9
0,2,2,2,3,0,0,0,7,9
0,0,3,2,2,0,2,0,7,9
0,0,3,2,1,0,1,0,7,13
0,0,3,2,2,0,1,0,7,16
0,0,2,2,1,0,0,0,7,3
0,0,2,2,6,0,0,0,7,3
0,0,0,0,0,0,0,0,7,3
0,0,0,0,6,0,0,0,7,3
0,0,2,2,1,0,0,0,7,3
0,0,0,0,4,0,0,0,7,3
0,0,2,2,1,0,0,0,7,4
0,0,2,2,4,0,0,0,7,4
0,0,2,2,3,0,0,0,7,4
0,0,0,0,5,0,0,0,7,5
0,0,3,2,1,0,1,0,7,5
0,2,2,2,1,0,0,0,6,29
0,0,2,2,4,0,0,0,7,5
0,0,2,2,1,0,0,0,7,5
0,0,2,2,2,0,0,0,7,5
0,0,3,2,1,0,0,0,6,16
0,0,2,2,1,0,0,0,6,18
0,0,2,2,2,0,0,0,7,3
0,0,2,2,1,0,0,0,6,12
0,2,3,2,1,0,0,0,7,5
0,0,2,2,1,0,0,0,7,5
0,0,2,2,1,0,0,0,6,9
0,0,2,2,1,0,0,0,7,6
0,0,2,2,3,0,0,0,5,26
0,0,2,2,1,0,0,0,7,7
0,0,3,2,1,0,0,0,7,7
0,0,3,2,2,0,0,0,7,11
0,0,3,2,1,0,1,0,7,12
0,0,3,2,1,0,1,0,5,19
0,0,3,2,1,0,1,0,7,13
0,2,0,0,1,0,0,0,6,9
0,2,3,2,3,0,1,0,7,13
0,2,3,2,3,0,1,0,7,17
0,0,2,2,5,0,0,0,7,17
0,0,3,2,1,0,0,0,4,15
0,0,2,2,1,0,0,0,7,4
0,0,2,2,1,0,0,0,7,4
0,0,2,2,1,0,0,0,7,4
0,0,2,2,3,0,0,0,7,4
0,0,2,2,0,0,0,0,7,4
0,0,2,2,1,0,0,0,7,4
0,0,2,2,1,0,0,0,5,26
0,0,2,2,1,0,0,0,6,29
0,0,2,2,5,0,0,0,5,13
0,2,3,2,3,0,0,0,7,10
0,0,2,2,2,0,0,0,7,10
0,0,0,0,3,0,0,0,7,10
0,0,0,0,1,0,0,0,7,7
0,0,3,2,2,0,0,0,7,7
0,0,3,2,5,0,0,0,7,10
0,0,2,2,1,0,0,0,7,10
0,0,2,2,3,0,0,0,7,11
0,0,2,2,6,0,0,0,6,9
0,2,0,0,2,0,0,0,5,20
0,0,2,2,1,0,0,0,4,22
0,0,3,2,1,0,0,0,7,11
0,0,2,2,1,0,0,0,7,11
0,0,2,2,2,0,0,0,7,11
0,2,2,2,3,0,0,0,7,11
0,0,2,2,1,0,0,0,7,11
0,0,2,2,3,0,0,0,7,12
0,0,2,2,3,0,0,0,5,12
0,0,2,2,1,0,0,0,7,12
0,0,3,2,2,0,1,0,7,14
0,0,3,2,2,0,1,0,7,14
0,2,0,0,2,0,0,0,7,14
0,0,2,2,6,0,0,0,7,5
0,0,3,2,2,0,1,0,7,5
0,2,2,2,1,0,0,0,5,29
0,0,0,0,3,0,0,0,7,4
0,0,2,2,1,0,0,0,5,13
0,0,2,2,2,0,0,0,6,16
0,1,4,0,6,0,0,0,7,5
0,0,2,2,3,0,0,0,7,5
0,0,2,2,1,0,2,0,7,6
0,0,2,2,1,0,0,0,7,6
0,0,2,2,1,0,2,0,7,6
0,0,2,2,1,0,2,0,7,6
0,0,2,2,1,0,0,0,7,6
0,0,2,2,2,0,0,0,7,1
0,0,2,2,1,0,0,0,7,6
0,0,2,2,1,0,0,0,7,6
0,0,2,2,1,0,0,0,7,6
0,0,2,2,1,0,0,0,7,6
0,0,2,2,1,0,0,0,7,6
0,0,2,2,2,0,0,0,7,1
0,0,0,0,4,0,0,0,7,6
0,2,2,2,4,0,0,0,7,7
0,0,2,2,2,0,0,0,7,7
0,0,2,2,2,0,0,0,7,9
